CustomerId,FirstName,LastName,Country,Phone,Fax,Email
1,Luís,Gonçalves,Brazil,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br
2,Leonie,Köhler,Germany,+49 0711 2842222,,leonekohler@surfeu.de
3,François,Tremblay,Canada,+1 (514) 721-4711,,ftremblay@gmail.com
4,Bjørn,Hansen,Norway,+47 22 44 22 22,,bjorn.hansen@yahoo.no
5,František,Wichterlová,Czech Republic,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com
6,Helena,Holý,Czech Republic,+420 2 4177 0449,,hholy@gmail.com
7,Astrid,Gruber,Austria,+43 01 5134505,,astrid.gruber@apple.at
8,Daan,Peeters,Belgium,+32 02 219 03 03,,daan_peeters@apple.be
9,Kara,Nielsen,Denmark,+453 3331 9991,,kara.nielsen@jubii.dk
10,Eduardo,Martins,Brazil,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br
11,Alexandre,Rocha,Brazil,+55 (11) 3055-3278,+55 (11) 3055-8131,alero@uol.com.br
12,Roberto,Almeida,Brazil,+55 (21) 2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br
13,Fernanda,Ramos,Brazil,+55 (61) 3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br
14,Mark,Philips,Canada,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca
15,Jennifer,Peterson,Canada,+1 (604) 688-2255,+1 (604) 688-8756,jenniferp@rogers.ca
16,Frank,Harris,USA,+1 (650) 253-0000,+1 (650) 253-0000,fharris@google.com
17,Jack,Smith,USA,+1 (425) 882-8080,+1 (425) 882-8081,jacksmith@microsoft.com
18,Michelle,Brooks,USA,+1 (212) 221-3546,+1 (212) 221-4679,michelleb@aol.com
19,Tim,Goyer,USA,+1 (408) 996-1010,+1 (408) 996-1011,tgoyer@apple.com
20,Dan,Miller,USA,+1 (650) 644-3358,,dmiller@comcast.com
21,Kathy,Chase,USA,+1 (775) 223-7665,,kachase@hotmail.com
22,Heather,Leacock,USA,+1 (407) 999-7788,,hleacock@gmail.com
23,John,Gordon,USA,+1 (617) 522-1333,,johngordon22@yahoo.com
24,Frank,Ralston,USA,+1 (312) 332-3232,,fralston@gmail.com
25,Victor,Stevens,USA,+1 (608) 257-0597,,vstevens@yahoo.com
26,Richard,Cunningham,USA,+1 (817) 924-7272,,ricunningham@hotmail.com
27,Patrick,Gray,USA,+1 (520) 622-4200,,patrick.gray@aol.com
28,Julia,Barnett,USA,+1 (801) 531-7272,,jubarnett@gmail.com
29,Robert,Brown,Canada,+1 (416) 363-8888,,robbrown@shaw.ca
30,Edward,Francis,Canada,+1 (613) 234-3322,,edfrancis@yachoo.ca
31,Martha,Silk,Canada,+1 (902) 450-0450,,marthasilk@gmail.com
32,Aaron,Mitchell,Canada,+1 (204) 452-6452,,aaronmitchell@yahoo.ca
33,Ellie,Sullivan,Canada,+1 (867) 920-2233,,ellie.sullivan@shaw.ca
34,João,Fernandes,Portugal,+351 (213) 466-111,,jfernandes@yahoo.pt
35,Madalena,Sampaio,Portugal,+351 (225) 022-448,,masampaio@sapo.pt
36,Hannah,Schneider,Germany,+49 030 26550280,,hannah.schneider@yahoo.de
37,Fynn,Zimmermann,Germany,+49 069 40598889,,fzimmermann@yahoo.de
38,Niklas,Schröder,Germany,+49 030 2141444,,nschroder@surfeu.de
39,Camille,Bernard,France,+33 01 49 70 65 65,,camille.bernard@yahoo.fr
40,Dominique,Lefebvre,France,+33 01 47 42 71 71,,dominiquelefebvre@gmail.com
41,Marc,Dubois,France,+33 04 78 30 30 30,,marc.dubois@hotmail.com
42,Wyatt,Girard,France,+33 05 56 96 96 96,,wyatt.girard@yahoo.fr
43,Isabelle,Mercier,France,+33 03 80 73 66 99,,isabelle_mercier@apple.fr
44,Terhi,Hämäläinen,Finland,+358 09 870 2000,,terhi.hamalainen@apple.fi
45,Ladislav,Kovács,Hungary,,,ladislav_kovacs@apple.hu
46,Hugh,O'Reilly,Ireland,+353 01 6792424,,hughoreilly@apple.ie
47,Lucas,Mancini,Italy,+39 06 39733434,,lucas.mancini@yahoo.it
48,Johannes,Van der Berg,Netherlands,+31 020 6223130,,johavanderberg@yahoo.nl
49,Stanisław,Wójcik,Poland,+48 22 828 37 39,,stanisław.wójcik@wp.pl
50,Enrique,Muñoz,Spain,+34 914 454 454,,enrique_munoz@yahoo.es
51,Joakim,Johansson,Sweden,+46 08-651 52 52,,joakim.johansson@yahoo.se
52,Emma,Jones,United Kingdom,+44 020 7707 0707,,emma_jones@hotmail.com
53,Phil,Hughes,United Kingdom,+44 020 7976 5722,,phil.hughes@gmail.com
54,Steve,Murray,United Kingdom,+44 0131 315 3300,,steve.murray@yahoo.uk
55,Mark,Taylor,Australia,+61 (02) 9332 3633,,mark.taylor@yahoo.au
56,Diego,Gutiérrez,Argentina,+54 (0)11 4311 4333,,diego.gutierrez@yahoo.ar
57,Luis,Rojas,Chile,+56 (0)2 635 4444,,luisrojas@yahoo.cl
58,Manoj,Pareek,India,+91 0124 39883988,,manoj.pareek@rediff.com
59,Puja,Srivastava,India,+91 080 22289999,,puja_srivastava@yahoo.in
